name,domain,url,home_title,description,services_guess,address_guess,emails,phones,pages_crawled,total_text_chars,images_referenced,assets_downloaded,asset_size_mb,crawl_errors,crawl_seconds
L+A Treuhand,latreuhand.ch,https://www.latreuhand.ch/,Treuhand Zürich | Ihr Steuerberater für Finanzen & Steuern,Ihre Partner für Treuhand und Steuerberater in Zürich – individuelle Beratung und umfassende Unterstützung für Ihre Steuern und Finanzen.,Treuhand ist unsere Kernkompetenz | L+A - Ihr zuverlässiger Partner für | Aktuelles | Dienstleistungen | Über Uns | Info,,info@latreuhand.ch,"+41 44 438 83 83, +41 44 438 83 88",58,148909,510,81,28.63,0,95.8
Langhart & Partner Treuhand AG,langhart-partner.ch,https://langhart-partner.ch/,Startseite - Langhart & Partner Treuhand AG,Ihr Partner für Steuern und Unternehmensberatung mit Sitz in Wetzikon. Wir machen wir Treuhand sympathisch und verschaffen Ihnen Freiräume.,"Treuhand, Steuern & Unternehmensberatung | Über 30 Jahre Langhart & Partner | Wir schaffen Ihnen Freiräume | Wettbewerb | Weihnachtsferien vom 22. Dezember 2025 bis 5. Januar 2026 | Unsere Dienstleistungen",,"info@hingucker.ch, info@langhart-partner.ch, langhart@langhart-partner.ch, lidia.cerra@langhart-partner.ch, lukas.manser@langhart-partner.ch, s.langhart@langhart-partner.ch, wittausch@langhart-partner.ch","+41 44 933 50 20, +41 52 511 05 15, 044 933 50 20, 044 933 50 22, 044 933 50 23, 044 933 50 24, 044 933 50 26",37,129461,154,97,8.04,0,126.9
Maurer Treuhand,maurer-treuhand.ch,https://www.maurer-treuhand.ch/,"Maurer Treuhand - Finanz- & Rechnungswesen, Steuerberatung – Zürich","Wir beraten Sie umfassend zu Ihren Finanz- und Rechnungsfragen, führen Ihre Buchhaltung, erstellen die Jahresabschlüsse und agieren als Fiskalvertretung.",Maurer Treuhand AG | Schluss mit dem Zettel-Chaos | Unsere Dienstleistungen | Kompetenz hat viele Namen | Segmentiert und massgeschneidert | Das sagen unsere Kunden,,"k.murtezi@maurer-treuhand.ch, k.sammer@maurer-treuhand.ch, l.hofer@maurer-treuhand.ch, m.bajrami@maurer-treuhand.ch, m.sammer@maurer-treuhand.ch, r.vaterlaus@maurer-treuhand.ch, s.allemann@maurer-treuhand.ch, s.boss@maurer-treuhand.ch, willkommen@maurer-treuhand.ch, y.kunz@maurer-treuhand.ch",043 355 15 15,11,86316,348,64,23.2,0,30.9
MK Treuhand,mkfiduciaire.ch,https://mkfiduciaire.ch/,"MK Fiduciaire â ComptabilitÃ© & FiscalitÃ© en Suisse (Fribourg, Valais, ZÃ¼rich, Basel, Bern)","Fiduciaire Ã  Suisse : MK Fiduciaire offre comptabilitÃ©, fiscalitÃ©, crÃ©ation de sociÃ©tÃ© et gestion des salaires dans le canton de Fribourg, Valais, ZÃ¼rich, Basel, Bern. Devis gratuit.",Nos Services Ã  Suisse | Ãconomie Ã  Suisse | Ce Que Disent Nos Clients | Nos Guides Pratiques | Nos Fiduciaires en Suisse | Besoin d'une fiduciaire Ã  Suisse ?,,info@mkfiduciaire.ch,+41 26 518 00 00,24,59933,0,1,0.0,0,14.5
Monere Wallisellen,monere.ch,https://www.monere.ch/,Monere Wallisellen | Kompetenter Treuhandpartner in Ihrer Nähe,Monere Wallisellen – Persönliche und individuelle Treuhandberatung für Unternehmen und Privatpersonen.,,7 Richtistrasse 8304 Wallisellen,info@monere.ch,+41 44 540 00 41,22,63884,82,52,10.16,0,236.6
MRG Treuhand,mrg-treuhand.ch,https://www.mrg-treuhand.ch/,"MRG Treuhand – Digitale Buchhaltung & Steuerberatung | Thurgau, Zürich, St. Gallen","MRG Treuhand Aadorf: Digitale Buchhaltung, Lohnabrechnung & Steuerberatung für KMU in Thurgau, Zürich und St. Gallen. Swissdec-zertifiziert. Ab CHF 240/Monat.",Wie können wir helfen? | Unsere Leistungen | Das sagen unsere Kunden | Faire Fixpreise | Häufige Fragen | Bereit?,Heidelbergstrasse 9 8355 Aadorf,info@mrg-treuhand.ch,"+41 52 558 52 77, 052 558 52 77",79,774903,217,27,3.9,0,91.1
Müller & Schuhmacher AG,mueller-schuhmacher.ch,https://www.mueller-schuhmacher.ch/,Müller Schuhmacher AG,"Suchen Sie Unterstützung beim Verkauf, in der Bewirtschaftung oder in Treuhandfragen rund um Ihre Immobilie? Unser erfahrenes Team begleitet Sie persönlich",Unsere Beratungsleistungen | Wer findet die passenden Käufer für Ihre Immobilie? | Bereit für den Verkauf? | Wie unterstützt Sie unser Kundencenter im Alltag? | Selber verkaufen oder lieber einen Profi beauftragen? | Was zeichnet ein starkes Team aus?,,"andrin.baumann@mueller-schuhmacher.ch, brupbacher@mueller-schuhmacher.ch, cassino@mueller-schuhmacher.ch, deuring@mueller-schuhmacher.ch, durmishi@mueller-schuhmacher.ch, ernst.schelling@mueller-schuhmacher.ch, feierabend@mueller-schuhmacher.ch, frei@mueller-schuhmacher.ch, furrer@mueller-schuhmacher.ch, gnaedinger@mueller-schuhmacher.ch, graf@mueller-schuhmacher.ch, gut@mueller-schuhmacher.ch, hermina.gaus@mueller-schuhmacher.ch, hirschle@mueller-schuhmacher.ch, hofer@mueller-schuhmacher.ch, info@mueller-schuhmacher.ch, janine.keller@mueller-schuhmacher.ch, koller@mueller-schuhmacher.ch, kruschitz@mueller-schuhmacher.ch, kunz@mueller-schuhmacher.ch, ludescher@mueller-schuhmacher.ch, mueller@mueller-schuhmacher.ch, oederlin@mueller-schuhmacher.ch, pfeiffer@mueller-schuhmacher.ch, preziuso@mueller-schuhmacher.ch, schroeder@mueller-schuhmacher.ch, schuhmacher@mueller-schuhmacher.ch, senn@mueller-schuhmacher.ch, shania.pugel@mueller-schuhmacher.ch, sigillo@mueller-schuhmacher.ch, steiner@mueller-schuhmacher.ch, storchenegger@mueller-schuhmacher.ch, zeugin@mueller-schuhmacher.ch",052 212 85 54,29,104538,157,232,34.98,0,81.0
One Treuhand,onetreuhand.ch,https://onetreuhand.ch/,Treuhand Zürich | Digitale Treuhand für KMU in der Schweiz,"Treuhand Zürich für KMU: Buchhaltung, klare Zahlen und persönliche Betreuung durch eidg. diplomierten Experten – schweizweit & effizient.",Sie führen Ihr Unternehmen. Wir ordnen die Zahlen. | Mehr als Zahlen: Ein Finanzsystem für Unternehmer | Was ONE! Treuhand für Sie bedeutet | ONE! Treuhand Zürich – Ihr digitales Finanz-Backoffice | So funktionierts | Kunden Feedback,,"elcome@onetreuhand.ch, r.intaglietta@onetreuhand.ch, welcome@onetreuhand.ch","+41 (0) 44 533 34 25, +41 44 533 34 25, +41445333425",118,1305423,1803,202,57.47,0,241.9
Rebex AG,rebex.ch,https://www.rebex.ch/,"Treuhand, Revision, Rechnungswesen | Rebex AG","Wir übernehmen alle Treuhand-Arbeiten, damit Sie sich auf Ihr Hauptgeschäft konzentrieren können. Wir sind Ihre Treuhand- und Revisionsgesellschaft!",Herzlich willkommen bei der Rebex AG | Dienstleistungen | Über uns | Rebex AG in Dietikon und Zürich | Wirtschaftsprüfung &  -beratung | Steuern & Rechnungswesen,,"a.g.florian@rebex.ch, a.mdimagh@rebex.ch, j.florian@rebex.ch, r.hobi@rebex.ch, r.oeschger@rebex.ch, rebex@rebex.ch,    m.oswald@rebex.ch","+41 44 744 76 76, 044 740 22 82",19,31064,192,40,3.69,0,28.3
SBT Treuhand Zürich,sbt-treuhand.ch,https://www.sbt-treuhand.ch/,"SBT Treuhand Zürich – Treuhand, Steuern & Beratung","SBT Treuhand AG, Zürich – verlässliche Buchhaltung, Steuerberatung, Mehrwertsteuerbetreuung und Unternehmensberatung.",Unsere Dienstleistungen | Das Team | Mitgliedschaften | Über uns | Unsere Werte und Leitgedanken | Kontakt,,"a.bosshard@sbt-treuhand.ch, c.schneider@sbt-treuhand.ch, h.ott@sbt-treuhand.ch, info@compresso.ch, info@sbt-treuhand.ch, r.decarlo@sbt-treuhand.ch","+41 (0)44 438 60 10, +41 (0)44 438 60 19, +41 43 488 86 00, +41 43 488 86 01, +41 44 438 60 10, +41 44 438 60 19",7,19074,19,21,0.54,0,17.6
Schweizerische Treuhandgesellschaft Revision AG,stg-revision.ch,https://www.stg-revision.ch/,Home – Schweizerische Treuhandgesellschaft (Revision) AG,Willkommen - Die Schweizerische Treuhandgesellschaft bietet Ihnen umfassende Beratungsleistungen von höchster Qualität und das aus einer Hand.,News | Kontakt | Über uns | Links | Newsletter,,"christine.perler@stg.ch, donat.riedo@stg-bern.ch, donat.riedo@stg.ch, info.revision@stg.ch, info@stg.ch, info@valpix.ch, matthias.schlaefli@stg.ch, philipp.akeret@stg.ch","+41 31 310 97 02, +41 31 310 97 07, +41 58 255 36 31, +41 58 255 36 36, +41 58 255 36 38, +41 58 255 36 39, +41 79 328 20 83, +41 79 795 99 36, 027 924 60 82",82,136585,1096,77,11.0,0,190.9
SEBONA Treuhand,sebona-treuhand.ch,https://sebona-treuhand.ch/,Treuhänder Zürich für KMU – Buchhaltung & Steuern | SEBONA,"Persönlicher Treuhand-Partner für KMU in Zürich, Zug und Schwyz. Buchhaltung, Steuererklärungen, Domizilservice. Erstgespräch kostenfrei – ab CHF 150.",Buchhaltungskosten in 60 Sekunden berechnen | Ihr Buchhaltungsbüro in Zürich | Steuererklärung in 60 Sekunden online buchen | Persönlicher Treuhand-Partner für KMU im Grossraum Zürich | Beratung auf Augenhöhe – modern und digital | Persönlich. Vor Ort. In Kloten.,Hohstrasse 1 8302 Kloten,,+41 43 883 90 60,54,268645,529,171,5.51,0,95.8
SPP Treuhand AG,spp-treuhand.ch,https://spp-treuhand.ch/,SPP - Treuhand AG - SPP Schlunegger Park & Partner Treuhand AG,"SPP - Treuhand AG Zürich: Treuhand-Support und Beratung in allen Bereichen für KMU, Rechnungswesen, Steuern, Lohnbuchhaltung, Firmengründung",Was Kunden über uns sagen | Offerte Buchhaltung | bexio Buchhaltung einrichten lassen | Anmeldung zum 30-Tages-Test | Ihre Anfrage zu bexio | Jahresabschluss mit bexio,,"%20kontakt@spp-treuhand.ch, aleandro.frautschi@spp-treuhand.ch, alexandra.schlunegger@spp-treuhand.ch, brigitte.lippuner@spp-treuhand.ch, chiara.schnetzer@spp-treuhand.ch, empfang@spp-treuhand.ch, info@spp-treuhand.ch, jan.park@spp-treuhand.ch, jason.johansson@spp-treuhand.ch, kontakt@spp-treuhand.ch, majra.campos@spp-treuhand.ch, mirco.schlunegger@spp-treuhand.ch, patrik.henkel@spp-treuhand.ch, sona.park@spp-treuhand.ch","+41 44 310 14 44, 044 310 14 44",23,162528,76,87,17.18,0,61.5
Steuerberater365 Zürich,steuerberater365-zuerich.ch,https://www.steuerberater365-zuerich.ch/,Steuerberatung Zürich | Steuererklärung Ausfüllen lassen - Steuerberater,Steuerberater Zürich für Steuererklärung ausfüllen lassen ab CHF 49.-. Jetzt kostenlos anrufen auf 044 508 75 30 oder eine Nachricht senden.,Steuererklärung Zürich günstig ausfüllen lassen | Steuerberater Zürich kostenloses Angebot erhalten | Fristverlängerung Steuererklärung Zürich | Was sagen unsere Kunden in zürich? | Steuerberater Zürich - Steuern sparen Zürich - Steuerabzüge | Die ordentliche Einreichefrist,,,"043 259 40 50, 044 508 75 30, 056 508 72 80",200,1750927,620,68,17.02,0,247.2
Steuerberatung Schweiz,steuerberatung-schweiz.ch,https://www.steuerberatung-schweiz.ch/,Steuerberatung in der Schweiz - Steuerberatung,,Günstige Steuerberatung in der Schweiz | Steuerberatung Schweiz Kosten | Wann lohnt sich Steuerberatung und Steuerplanung? | Welches sind die häufigsten Fehler bei der Steuererklärung? | Was sind steueroptimierte Anlagen? | Welche Tipps gibt es zum Steuern sparen?,,,"+41 58 345 30 30, 061 508 72 04",65,418858,92,107,7.94,0,93.4
SteuerVogt GmbH,steuervogt.ch,https://steuervogt.ch/,Treuhand- und Steuerberatung | SteuerVogt GmbH Zürich,Treuhand- und Steuerberatung im Herzen von Zürich. Kompetente Beratung und Unterstützung in sämtlichen treuhänderischen Bereichen. Das massgeschneiderte Treuhandpaket für Privatpersonen und Unternehmen. Ihr treuhänderisches Anliegen steht bei der SteuerVogt GmbH im Mittelpunkt.,Treuhand- und Steuer-Dienstleistungen | Firmengründung und Sitzverlegung | Buchhaltung und Treuhand | Steuern | Lohn- und Personaladministration | Mehr Infos,,laura.vogt@steuervogt.ch,+41 79 785 84 51,11,24931,9,15,2.19,0,20.4
STG Zürich,stg.zuerich,https://www.stg.zuerich/,"Steuern, Treuhand, Trusts und Immobilien – STG Zürich","Dienstleistungen der Schweizerischen Treuhandgesellschaft (Zürich) AG: Steuern, Treuhand, Trust & Gestion und Immobilien","STG Zürich | Feiertage & Jahreswechsel 2025/26 | Im Netzwerk stark | STG Zürich. Uns vertrauen Generationen. Seit 1906. | Ihre erste Wahl | Geballte Erfahrung, die in Ihre Lösung einfliesst.",,"annette.widmann@stg.zuerich, christian.sager@stg.zuerich, doris.buerge@stg.zuerich, info@stg.zuerich, irene.waser@stg.zuerich, juerg.gass@stg.zuerich, katalin.z.ursu@stg.zuerich, manuela.gugger@stg.zuerich, pia.gubser@stg.zuerich, sabrina.gholampour@stg.zuerich, thomas.brunner@stg.zuerich, tina.siebenmann@stg.zuerich","+41 44 219 78 00, +41 44 219 78 03, +41 44 219 78 04, +41 44 219 78 06, +41 44 219 78 07, +41 44 219 78 08, +41 44 219 78 09, +41 44 219 78 28",22,149037,186,38,10.16,0,22.1
STM Treuhand Mettler AG,stmtreuhand.ch,https://stmtreuhand.ch/,Startseite | STM Treuhand,"Steuerberatung, WirtschaftsprÃ¼fung und vieles mehr. Ihre STM Steuerberatung und Treuhand Mettler AG ist fÃ¼r Sie da. Vereinbaren Sie heute noch ein GesprÃ¤ch!",Peter Mettler | Team und Kanzlei | Wir suchen UnterstÃ¼tzung! | GEHEN SIE DEN NÃCHSTEN SCHRITT! | Extra Links | Unsere Dienstleistungen,,"d.weber@stmtreuhand.ch, info@stmtreuhand.ch, o.steinmeier@stmtreuhand.ch, p.mettler@stmtreuhand.ch","+41 (0)44 209 90 60, +41 (0)44 209 90 61, +41 44 206 60 90, +41 44 209 90 60, +41442096060, 044 209 90 60",41,152575,200,89,19.87,0,32.0
Suter Treuhand,sutertreuhand.ch,https://sutertreuhand.ch/,▷Treuhandbüro-Treuhandunternehmen Schweiz ❶ Treuhand Luzern,Vertrauensvolle Treuhandgesellschaft Schweiz ☝ Suter Treuhand individuelle Treuhanddienstleistungen ✅ Kompetenz und Diskretion ✅ Besuchen Sie mich!,Welche Treuhand-Dienstleistungen biete ich an? | Immer auf dem neusten Stand Treuhand Luzern und Zürich | Hohe Kompetenz. Niedrige Kosten. | Ihre Steuererklärung: Endlich einfach | Einfach online: In wenigen Schritten. | Suter Treuhand Consulting Luzern und Zürich,Seeburgstrasse 39 6006 Luzern,"contact@sutertreuhand.ch, info@sutertreuhand.ch","+41 (0) 41 911 25 20, +41 (0)41 911 25 20",200,604431,193,279,27.54,0,337.9
Swiss Treuhand Siegrist GmbH,treuhandsiegrist.ch,https://www.treuhandsiegrist.ch/,Swiss Treuhand Siegrist GmbH – Ihr Vertrauenspartner im Bereich Treuhand,"Treuhand und Buchhaltung



Effiziente und schnelle Abwicklungen ohne unnötige Zusätze. Dies sagen unsere Kunden über unsere Tätigkeit im Treuhandwesen. Wir betreuen Kunden aus Zürich resp. der ganzen Schweiz, Deutschland, Österreich und anderen EU Ländern.

Mehr Erfahren",Einfache Lösungen für Ihre Firma | WIR FESTIGEN IHRE FIRMENSTABILITÄT | MEHR ALS NUR TREUHAND-DIENSTE | MEINUNGEN UNSERER KUNDEN | Gold-Partner bei Bexio | Silberpartner bei Bexio,,", info@icodesign.ch, info@treuhandsiegrist.ch","+41 43 818 69 15, +41 43 818 69 17, 076 341 50 86",24,62045,142,154,27.53,0,60.8
Taxalis Treuhand AG,taxalis.ch,https://www.taxalis.ch/,Home - TAXALIS,,Neue Energiemodelle – neue Chancen | Klare Verhältnisse über die Ehe hinaus,,"andrea.vettiger@taxalis.ch, bernadette.amstad@taxalis.ch, bettina.albin@taxalis.ch, cheyenne.henzelmann@taxalis.ch, clara.kienast@taxalis.ch, cyril.liebheit@taxalis.ch, emanuele.giandon@taxalis.ch, erich.henzelmann@taxalis.ch, gabi.ott@taxalis.ch, info@taxalis.ch, jeannette.plattner@taxalis.ch, jessica.weisskopf@taxalis.ch, leila.maechler@taxalis.ch, luca.caracciolo@taxalis.ch, marco.joerger@taxalis.ch, marina.egli@taxalis.ch, martina.martin@taxalis.ch, meli.dushica@taxalis.ch, michelle.eichwald@taxalis.ch, nina.marty@taxalis.ch, olivia.wilms@taxalis.ch, ruth.gueller@taxalis.ch, silvan.stehli@taxalis.ch","+41 52 260 20 10, 043 488 28 28, 043 488 28 29, 043 488 28 88, 044 488 28 29, 052 260 20 10, 052 260 20 11",73,333993,748,242,166.39,0,196.1
Treuhand Catherine Schmid GmbH,treuhandschmid.ch,https://www.treuhandschmid.ch/,"Treuhand, Steuern, Buchhaltung, Gründung | Oerlikon, Zürich | Treuhand Catherine Schmid GmbH","Treuhand Catherine Schmid  Ihr Partner für Steuern, Buchhaltung und Gründungen in Oerlikon, ZürichTreuhand Schmid in Oerlikon, Zürich, ist Ihr verlässlicher Experte für Steuern, Buchhaltung und Treuhandservices. Mit langjähriger Erfahrung unterstützen wir Privatpersonen und Unternehmen bei der Optimierung ihrer Steuerangelegenheiten, der professionellen Buchführung sowie bei der erfolgreichen Gründung neuer Firmen. Unser Fokus liegt auf individuellen Lösungen, die Ihre finanziellen Ziele in den Mittelpunkt stellen. Vertrauen Sie auf unsere Expertise und profitieren Sie von einem persönlichen Service, der Sie entlastet und Ihnen Zeit für das Wesentliche gibt. Kontaktieren Sie Treuhand Schmid und bringen Sie Ihre Finanzen auf Erfolgskurs!",Treuhand Catherine Schmid GmbH | Herzlich willkommen bei Treuhand Catherine Schmid GmbH | Buchhaltung | Steuern | Gründungen | CHECKLISTE STEUERERKLÄRUNG,,"info@treuhandschmid.ch, schmid@treuhandschmid.ch",+41 44 317 61 91,11,26666,55,153,31.23,0,113.1
Treuhand mit Herz,treuhandmitherz.ch,https://www.treuhandmitherz.ch/,Treuhand mit Herz - Treuhand mit Herz,,Bestehende Kunden im Fokus,,info@treuhandmitherz.ch,"+41
52 551 50 00, +41 52 551 50 00, +41 52 511 56 77",43,99939,190,240,37.13,0,92.7
Treuhand Service Zürich,treuhand-service-zh.ch,https://www.treuhand-service-zh.ch/home/,Home - Treuhand Service Zürich,"Wir beraten Sie in Buchhaltung, Finanzberatung, Gesellschaftsgründung und Steuerberatung.",Steuererklärung | Buchhaltung | Firmagründung | Administration | Verwaltungen | Vermögensberatung,,info@treuhand-service-zh.ch,043 960 98 41,14,108889,6,8,0.65,0,41.5
